DateTime;DietCode;OUT;PV;SP
12/21/2022 11:58:03 AM;BK32993M;35,26876068;7533,227539;7700
12/21/2022 12:13:03 PM;BK32993M;33,74940872;7898,185059;7700
12/21/2022 12:28:03 PM;BK32993M;34,13964844;7664,249023;7700
12/21/2022 12:43:03 PM;BK32993M;35,38483429;7572,34668;7700
12/21/2022 12:58:03 PM;BK32993M;33,90779495;7919,444336;7700
12/21/2022 1:13:03 PM;BK32993M;33,82964706;7866,939453;7700
12/21/2022 1:28:03 PM;BK32993M;34,96862793;7762,439453;7700
12/21/2022 1:43:03 PM;BK32993M;33,83701324;7798,668945;7700
12/21/2022 1:58:03 PM;BK32993M;34,48909378;7710,194824;7700
12/21/2022 2:13:03 PM;BK32993M;35,44396973;7649,009766;7700
12/21/2022 2:28:03 PM;BK32993M;33,82534027;7901,339844;7700
12/21/2022 2:43:03 PM;BK32993M;34,47493744;7715,177734;7700
12/21/2022 2:58:03 PM;BK32993M;35,34352112;7674,484375;7700
12/21/2022 3:13:03 PM;BK32993M;34,62298965;7728,309082;7700
12/21/2022 3:28:03 PM;BK32993M;35,44174576;7747,998047;7700
12/21/2022 3:43:03 PM;BK32993M;35,39504242;7749,583496;7700
12/21/2022 3:58:03 PM;BK32993M;34,99476624;7836,222656;7700
12/21/2022 4:13:03 PM;BK32993M;35,20639801;7710,194336;7700
45047,74861;BK32993M;41,89205551;7955,941406;7700
45047,75903;BK32993M;35,74602509;7722,274414;7700
45047,76944;BK32993M;34,56645203;7695,483887;7700
45047,77986;BK32993M;34,12129593;7824,930664;7700
45047,79028;BK32993M;35,18016052;7687,620117;7700
45047,80069;BK32993M;34,85455704;7763,765625;7700
45047,81111;BK32993M;34,434021;7754,561523;7700
45047,82153;BK32993M;35,37089157;7496,480469;7700
45047,83194;BK32993M;35,01330185;7719,114746;7700
45047,84236;BK32993M;34,45289993;7852,499023;7700
45047,85278;BK32993M;34,86273956;7665,040527;7700
45047,86319;BK32993M;34,73746109;7769,26709;7700
45047,87361;BK32993M;34,98921585;7676,84668;7700
45047,88403;BK32993M;34,03055573;7835,445313;7700
45047,89444;BK32993M;34,32443237;7739,606445;7700
45047,90486;BK32993M;34,86544037;7715,975586;7700
45047,91528;BK32993M;34,26859283;7772,949219;7700
45047,92569;BK32993M;33,97567749;7858,542969;7700
45047,93611;BK32993M;34,96633911;7716,762695;7700
45047,94653;BK32993M;34,35632324;7801,558594;7700
45047,95694;BK32993M;35,1474762;7539,277344;7700
45047,96736;BK32993M;35,11510086;7644,025879;7700
45047,97778;BK32993M;34,11611176;7832,026855;7700
45047,98819;BK32993M;34,22396469;7744,848633;7700
45047,99861;BK32993M;34,84842682;7691,028809;7700
45078,00903;BK32993M;34,23721313;7747,220703;7700
45078,01944;BK32993M;34,91972351;7685,248535;7700
45078,02986;BK32993M;34,11421204;7840,682617;7700
45078,04028;BK32993M;34,95951843;7684,729492;7700
45078,05069;BK32993M;34,14199066;7798,414551;7700
45078,06111;BK32993M;35,35379791;7566,306641;7700
45078,07153;BK32993M;34,86021423;7713,344238;7700
45078,08194;BK32993M;33,67832947;7787,904297;7700
45078,09236;BK32993M;34,28178787;7765,330078;7700
45078,10278;BK32993M;35,14823532;7709,12793;7700
45078,11319;BK32993M;35,53278732;7412,97998;7700
45261,01944;BK32993M;34,1580162;7693,137207;7700
45261,02986;BK32993M;34,86558533;7709,407227;7700
45261,04028;BK32993M;34,34041977;7800,781738;7700
45261,05069;BK32993M;34,13089752;7843,303711;7700
45261,06111;BK32993M;35,21893692;7665,035645;7700
45261,07153;BK32993M;34,91387177;7762,698242;7700
45261,08194;BK32993M;34,49723816;7744,31543;7700
45261,09236;BK32993M;34,52755737;7763,22168;7700
45261,10278;BK32993M;35,36845398;7700,995117;7700
45261,11319;BK32993M;34,60782623;7746,687988;7700
45261,12361;BK32993M;34,6222496;7729,882813;7700
45261,13403;BK32993M;35,50242233;7651,640625;7700
45261,14444;BK32993M;34,49734879;7754,306641;7700
45261,15486;BK32993M;34,30719376;7788,960938;7700
45261,16528;BK32993M;35,20184326;7711,510254;7700
45261,17569;BK32993M;34,71539688;7745,123047;7700
45261,18611;BK32993M;34,56106186;7838,326172;7700
45261,19653;BK32993M;35,50216675;7703,108398;7700
45261,20694;BK32993M;34,85371017;7773,736328;7700
45261,21736;BK32993M;35,63552475;7556,599609;7700
45261,22778;BK32993M;35,65090942;7703,885742;7700
45261,23819;BK32993M;35,00703812;7763,481445;7700
45261,24861;BK32993M;35,98787308;7614,365234;7700
45261,25903;BK32993M;35,75860977;7704,932617;7700
45261,26944;BK32993M;34,9648056;7874,543945;7700
45261,27986;BK32993M;36,00816727;7717,291016;7700
45261,29028;BK32993M;35,48374176;7843,299316;7700
45261,30069;BK32993M;35,59664917;7745,899902;7700
45261,31111;BK32993M;36,17516327;7702,589844;7700
45261,32153;BK32993M;36,05300522;7760,078125;7700
45261,33194;BK32993M;35,66191101;7792,115234;7700
45261,34236;BK32993M;36,63615036;7658,726563;7700
45261,35278;BK32993M;35,75547409;7842,53125;7700
45261,36319;BK32993M;35,5322113;7777,933594;7700
45261,37361;BK32993M;36,68095779;7663,460938;7700
45261,38403;BK32993M;35,31143951;7857,222656;7700
45261,39444;BK32993M;35,30522919;7807,333496;7700
45261,40486;BK32993M;35,73527908;7755,880859;7700
45261,41528;BK32993M;35,13337708;7814,435547;7700
45261,42569;BK32993M;35,88982391;7772,954102;7700
45261,43611;BK32993M;35,97029495;7778,725586;7700
45261,44653;BK32993M;35,81087494;7736,975586;7700
45261,45694;BK32993M;36,63861084;7668,703125;7700
45261,46736;BK32993M;35,88851547;7924,975098;7700
45261,47778;BK32993M;36,00876236;7808,126953;7700
45261,48819;BK32993M;36,8054924;7684,461426;7700
45261,49861;BK32993M;35,91785049;7923,389648;7700
45261,50903;BK32993M;36,22241592;7808,655273;7700
45261,51944;BK32993M;37,0191803;7666,351563;7700
45261,52986;BK32993M;35,79418945;7888,986328;7700
45261,54028;BK32993M;35,71576691;7734,089844;7700
45261,55069;BK32993M;36,39490128;7711,5;7700
45261,56111;BK32993M;35,75791168;7700,746094;7700
45261,57153;BK32993M;35,52442551;7815,21875;7700
45261,58194;BK32993M;36,38879013;7725,423828;7700
45261,59236;BK32993M;35,7688179;7712,551758;7700
45261,60278;BK32993M;35,79072189;7705,724609;7700
45261,61319;BK32993M;36,54060745;7699,958984;7700
45261,62361;BK32993M;35,51413727;7867,46875;7700
45261,63403;BK32993M;35,60984802;7751,939453;7700
45261,64444;BK32993M;36,68769455;7605,435547;7700
45261,65486;BK32993M;36,44013214;7687,091797;7700
45261,66528;BK32993M;35,11539459;7788,177734;7700
45261,67569;BK32993M;36,36933136;7581,266602;7700
45261,68611;BK32993M;36,2249794;7717,549805;7700
45261,69653;BK32993M;35,62377167;7843,572754;7700
45261,70694;BK32993M;36,31056976;7531,921875;7700
45261,71736;BK32993M;36,12393951;7724,108398;7700
45261,72778;BK32993M;35,4959259;7733,560547;7700
45261,73819;BK32993M;34,99922562;7833,855469;7700
45261,74861;BK32993M;35,69607925;7744,061523;7700
1/18/2023 8:43:03 AM;BK32993M;33,82049561;7830,970703;7700
